,offer_accepted,reward,mailer_type,income_level,bank_accounts_open,overdraft_protection,credit_rating,credit_cards_held,homes_owned,household_size,own_home,avg_balance,q1_balance,q2_balance,q3_balance,q4_balance
0,No,Air Miles,Letter,Medium,One,No,Medium,Two,Two,Five,Yes,147,39,106,78,366
1,No,Air Miles,Postcard,High,Two,No,Medium,Two,One,Two,Yes,276,367,352,145,242
2,No,Air Miles,Letter,Medium,Two,No,High,One,One,Four,No,1219,1578,1760,1119,419
3,No,Air Miles,Letter,Medium,One,No,Medium,Two,One,Six,Yes,1211,2140,1357,982,365
4,No,Air Miles,Letter,Medium,One,No,High,Three,One,Four,No,1114,1847,1365,750,497
5,No,Air Miles,Letter,Medium,One,No,Medium,Two,One,Three,No,283,468,188,347,132
6,No,Cash Back,Postcard,Low,One,No,Medium,Four,One,Four,Yes,278,132,391,285,306
7,No,Air Miles,Postcard,Medium,One,No,Low,Two,One,Four,Yes,1005,894,891,882,1353
8,No,Air Miles,Letter,High,Two,No,Low,Three,Two,Four,Yes,974,1814,1454,514,115
9,No,Air Miles,Postcard,Medium,One,No,Medium,Three,One,Two,Yes,1135,762,827,1454,1498
10,No,Cash Back,Postcard,High,One,No,Medium,Three,Two,Five,Yes,1221,551,1652,896,1785
11,No,Points,Letter,Medium,One,No,Low,One,One,Two,Yes,1150,1756,1402,969,475
12,No,Points,Letter,Low,One,No,High,One,One,Three,No,1052,1996,1038,439,736
13,No,Air Miles,Letter,Low,Two,No,High,Three,One,Three,Yes,1013,1819,901,854,479
14,No,Cash Back,Letter,High,One,No,Low,Two,One,Two,No,1012,1715,1486,713,135
15,No,Points,Postcard,Low,Two,No,Medium,One,One,Four,Yes,1217,567,1161,966,2174
16,No,Air Miles,Postcard,Low,Two,No,High,Two,One,Four,Yes,1185,272,1523,2042,904
17,No,Points,Postcard,Medium,One,No,Low,One,One,Four,No,1059,1876,1068,900,395
18,No,Cash Back,Letter,Medium,One,No,High,Two,One,Five,Yes,1086,764,997,921,1665
19,No,Points,Postcard,Low,One,No,High,Two,One,Four,Yes,1175,1234,1102,1423,942
20,No,Points,Letter,Medium,One,No,Low,Two,Two,Three,Yes,811,720,407,1224,896
21,No,Cash Back,Letter,High,One,No,High,One,One,Three,Yes,1754,1876,1717,1507,1916
22,No,Air Miles,Postcard,High,One,No,High,Three,One,Five,No,689,714,544,753,747
23,No,Cash Back,Letter,Low,One,No,Low,Two,One,Four,Yes,1018,1709,1087,732,545
24,No,Cash Back,Postcard,Medium,One,Yes,High,Three,Two,Five,Yes,1130,1931,1097,921,572
25,No,Air Miles,Postcard,Low,Two,No,Low,Three,Two,One,Yes,877,245,816,1174,1273
26,Yes,Air Miles,Letter,Medium,One,No,Low,One,One,Two,No,769,54,515,1204,1305
27,No,Cash Back,Postcard,Medium,One,Yes,Low,One,One,Three,Yes,709,551,866,790,629
28,No,Points,Postcard,High,One,No,Medium,One,One,One,Yes,690,687,554,931,588
29,No,Points,Letter,Medium,One,No,High,Two,One,Three,No,863,1306,1083,632,432
30,No,Cash Back,Postcard,Low,Two,No,Low,One,One,Five,Yes,733,781,683,558,910
31,No,Points,Postcard,Low,One,No,High,Two,Two,Four,No,771,82,456,1304,1242
32,No,Air Miles,Postcard,Low,Three,No,Medium,One,One,Four,Yes,659,715,626,746,551
33,No,Air Miles,Letter,Medium,One,No,Low,Two,One,Two,No,1258,1713,1531,1280,508
34,No,Points,Letter,High,One,No,High,Two,One,Four,Yes,875,995,693,946,867
35,No,Air Miles,Postcard,Medium,Two,No,Medium,Two,Two,Two,Yes,675,605,632,576,890
36,No,Air Miles,Postcard,Medium,One,No,Medium,Two,One,Four,No,1095,1866,1367,691,459
37,No,Air Miles,Postcard,High,One,No,Low,One,Two,Eight,No,1285,206,1499,1545,1890
38,No,Air Miles,Postcard,Low,One,Yes,Medium,Two,One,Three,Yes,1079,1832,1021,764,700
39,No,Air Miles,Letter,Low,One,Yes,High,One,One,Three,Yes,1119,1012,1148,1274,1045
40,No,Air Miles,Letter,High,One,No,Medium,Three,One,Three,Yes,172,340,26,95,227
41,No,Cash Back,Postcard,Medium,One,No,Medium,One,One,Four,No,834,185,868,1503,783
42,No,Air Miles,Letter,High,Two,No,Medium,Three,One,Three,Yes,1044,737,1252,1232,958
43,No,Points,Postcard,Medium,One,No,Low,Two,One,Two,No,838,997,910,504,944
44,Yes,Air Miles,Postcard,High,One,Yes,Low,Two,One,Five,Yes,851,206,467,1744,988
45,No,Air Miles,Letter,Medium,One,No,Medium,Two,One,Six,Yes,1040,574,911,1498,1178
46,No,Air Miles,Letter,Low,One,Yes,High,Two,One,Three,No,987,740,439,1240,1529
47,No,Air Miles,Postcard,Medium,One,No,Low,One,Two,Three,No,822,794,922,757,815
48,No,Points,Letter,Medium,Two,Yes,High,One,One,Five,Yes,650,689,725,513,675
49,Yes,Air Miles,Postcard,Low,One,No,High,Two,One,Two,Yes,931,1536,1232,597,362
50,No,Cash Back,Letter,Medium,One,No,Medium,One,One,Three,Yes,988,1983,1127,585,257
51,No,Points,Letter,Medium,One,No,Medium,One,One,Four,No,1145,198,1671,1573,1140
52,No,Points,Postcard,Medium,Three,No,Low,One,One,Four,No,1162,688,1331,1952,679
53,No,Air Miles,Postcard,Medium,One,No,High,Two,Two,Three,Yes,954,1312,1313,942,250
54,No,Points,Postcard,High,One,No,Medium,Four,Two,Five,Yes,1301,2024,1796,1134,251
55,No,Cash Back,Letter,Medium,One,No,Medium,Two,One,Four,Yes,1148,850,1559,1762,424
56,Yes,Air Miles,Postcard,Low,One,No,Medium,One,One,Two,Yes,1192,1787,908,1343,733
57,No,Cash Back,Postcard,Medium,One,No,High,Two,Three,Two,Yes,1195,272,1181,1491,1838
58,No,Air Miles,Postcard,Medium,One,No,High,Two,One,Three,Yes,1351,755,1292,1736,1623
59,No,Cash Back,Postcard,Medium,Two,No,High,One,One,Four,No,1062,430,989,1827,1003
60,No,Cash Back,Letter,Medium,One,No,High,Two,One,Two,Yes,1147,2189,970,1362,68
61,No,Cash Back,Letter,Medium,One,No,Low,One,One,Three,Yes,1308,1445,1232,1001,1556
62,No,Cash Back,Postcard,Medium,Two,No,High,Two,One,Two,No,363,382,156,443,471
63,No,Cash Back,Letter,Medium,One,No,Low,One,Two,Four,Yes,929,341,878,1543,956
64,No,Cash Back,Postcard,Low,One,No,Low,Two,One,Two,No,718,725,867,715,565
65,No,Cash Back,Letter,High,One,No,High,One,One,Three,Yes,1193,1459,703,1043,1568
66,No,Air Miles,Letter,Medium,One,No,Medium,Three,One,Two,Yes,957,440,696,892,1803
67,No,Points,Postcard,Medium,Two,No,Low,Two,One,Four,No,1050,742,1197,1767,494
68,No,Points,Postcard,Medium,Two,No,High,Two,One,Five,Yes,1266,660,1157,1151,2098
69,No,Air Miles,Postcard,Medium,One,No,High,Four,One,Two,Yes,1124,220,1100,1939,1240
70,No,Air Miles,Letter,High,Three,No,High,Two,Two,One,No,1059,293,1774,1595,577
71,No,Cash Back,Postcard,Medium,One,No,High,One,One,One,No,1014,717,1289,1443,608
72,No,Air Miles,Letter,Low,One,No,High,One,One,Three,Yes,891,1634,1019,615,297
73,Yes,Cash Back,Postcard,High,One,No,Low,Two,Two,Five,Yes,1329,1073,1127,1603,1515
74,No,Air Miles,Letter,Medium,One,No,Medium,Three,Two,Four,No,1023,1234,1352,1158,350
75,Yes,Cash Back,Postcard,Medium,One,No,Low,One,One,Five,Yes,908,235,434,1310,1655
76,No,Cash Back,Letter,High,One,No,Low,One,One,Three,Yes,731,570,785,730,841
77,No,Points,Postcard,Low,One,No,Medium,Two,One,Two,No,793,625,930,859,760
78,No,Cash Back,Postcard,Medium,Two,No,Low,One,One,Three,Yes,1735,1610,1746,1972,1614
